monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
8.879,53783864.0,29398749.16077201,9.580903333333333e-10,4.124719136890818e-10,5.3891119118822376e+16,7824828982660790.0
8.887,53896959.333333336,29775267.105695296,9.524343333333334e-10,4.1585829219859657e-10,5.430395843249588e+16,7854621924366216.0
8.895,53940658.333333336,29970072.636993747,9.465729999999999e-10,4.1643221753005605e-10,5.464812050894512e+16,7969848585622315.0
8.903,54086507.333333336,30288588.458941866,9.39815e-10,4.155033378313585e-10,5.513767542678609e+16,8188744596652559.0
8.911,53794310.0,30545562.92713184,9.268333333333334e-10,4.1567705464498925e-10,5.552798969329444e+16,8404884069321757.0
8.919,53805507.333333336,30458708.93244102,9.209176666666667e-10,4.1184883609928215e-10,5.589113822120589e+16,8504859497607468.0
8.927,54421584.666666664,31048437.53233348,9.231386666666667e-10,4.148763346255524e-10,5.632706754667111e+16,8769100461523780.0
8.935,54160725.666666664,31008910.286514137,9.19115e-10,4.1570663869007423e-10,5.6284712822595224e+16,8771418925688571.0
8.943,54409992.333333336,31088967.293929953,9.122049999999999e-10,4.144536339266431e-10,5.7050914472777256e+16,8570745457061347.0
8.951,54276104.0,31511504.08240319,9.071093333333333e-10,4.153021515106e-10,5.709312574836956e+16,8980520563110651.0
8.959,53783316.833333336,27830235.74640581,8.988616666666667e-10,3.7033637127436825e-10,5.7167867840492776e+16,7771362459181785.0
8.9595,53507527.333333336,31256308.63486401,8.96675e-10,4.1261619923483373e-10,5.686473859378865e+16,9160857102424874.0
8.96,53526441.666666664,31146034.07793609,8.971736666666666e-10,4.1276244138285324e-10,5.697263165517344e+16,8770049266719844.0
8.9605,53398095.666666664,31420230.303583983,8.93681e-10,4.1101473663483166e-10,5.68933505316503e+16,9319815535508334.0
8.961,53388169.0,31344220.003414363,8.932960000000001e-10,4.1071415952338437e-10,5.697210529869267e+16,9122658161783092.0
8.9615,53769636.666666664,31320254.14329846,8.93151e-10,4.117592484292246e-10,5.743139592638371e+16,9016865764843266.0
