# Scan number: 16
# Command: ascan mz -0.5 1.5 20 1
# Date: Sun Jul 28 17:22:36 2024
# date: Sun Jul 28 17:22:36 2024
mz	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0	0	0	0	86750052	1	0	0	0	298.18776	12.693537	3.171565e-11	8.652847e-10	-1790.667	7.7091023e+08	6.1283197e+08	1.0120218	0.037690889	1.0116403	19	1	0	12	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.197	3.17156e-11	8.67259e-10	0	23	85128.275	85128.275
0.1	0	0	0	86750055	1	0	0	0	298.17083	12.693537	6.070902e-12	8.680381e-10	-1790.667	7.7091023e+08	6.1478204e+08	1.0118589	3.6128991	0.97530144	24	0	0	16	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.175	6.28952e-12	8.67322e-10	0	28	16294.965	16294.965
0.2	0	0	0	86750057	1	0	0	0	298.15504	12.693537	2.013915e-12	8.672494e-10	-1790.667	7.7091023e+08	6.1422345e+08	1.0119226	7.1811345	0.93925504	26	0	0	22	0	1	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.155	3.30857e-12	8.66603e-10	0	24	5405.5682	5405.5682
0.3	0	0	0	86750059	1	0	0	0	298.1397	12.693537	9.744078e-13	8.671464e-10	-1790.667	7.7091023e+08	6.141505e+08	1.0121178	0.040343132	1.0117094	26	0	2	22	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.14	9.74408e-13	8.66835e-10	0	19	2615.4172	2615.4172
0.4	0	0	0	86750061	1	0	0	0	298.11725	12.693537	7.683379e-13	8.65704e-10	-1790.667	7.7091023e+08	6.1312893e+08	1.012031	0.043729884	1.0115885	31	0	0	23	2	2	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.124	7.68338e-13	8.66725e-10	0	28	2062.303	2062.303
0.5	0	0	0	86750064	1	0	0	0	298.10163	12.693537	2.156373e-12	8.677148e-10	-1790.667	7.7091023e+08	6.1455307e+08	1.0120115	8.3699601	0.92730656	22	0	1	17	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.106	2.23173e-12	8.66276e-10	0	19	5787.9411	5787.9411
0.6	0	0	0	86750066	1	0	0	0	298.08569	12.693537	2.842077e-12	8.664536e-10	-1790.667	7.7091023e+08	6.1365983e+08	1.0119645	0.038799781	1.0115718	23	0	0	14	3	3	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.086	2.87966e-12	8.64805e-10	0	17	7628.4456	7628.4456
0.7	0	0	0	86750068	1	0	0	0	298.07181	12.693537	4.196166e-12	8.632526e-10	-1790.667	7.7091023e+08	6.1139275e+08	1.0121645	3.7453834	0.97425504	26	0	0	22	1	1	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.072	4.19617e-12	8.65427e-10	0	21	11262.969	11262.969
0.8	0	0	0	86750070	1	0	0	0	298.04671	12.693537	1.012719e-11	8.629399e-10	-1790.667	7.7091023e+08	6.1117128e+08	1.0120934	10.031927	0.91056096	9	0	0	7	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.056	1.01272e-11	8.6418e-10	0	13	27182.486	27182.486
0.9	0	0	0	86750073	1	0	0	0	298.03096	12.693537	1.451419e-11	8.640875e-10	-1790.667	7.7091023e+08	6.1198406e+08	1.0118486	0.036653703	1.0114778	15	0	0	9	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	298.035	1.34282e-11	8.63693e-10	0	27	38957.674	38957.674
