# Scan number: 17
# Command: ascan kox -2 2 20 1
# Date: Sun Jul 28 17:24:49 2024
# date: Sun Jul 28 17:24:49 2024
kox	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0	0	0	0	86750251	1	0	0	0	296.65612	12.693537	4.538574e-13	8.288623e-10	-1790.667	7.7091023e+08	5.8703605e+08	1.0118966	2.7474427	0.98409536	36	0	0	26	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.656	5.41064e-13	8.28342e-10	0	19	1218.2029	1218.2029
0.19999999	0	0	0	86750253	1	0	0	0	296.64057	12.693537	2.006051e-12	8.263186e-10	-1790.667	7.7091023e+08	5.8523449e+08	1.012071	3.8865888	0.972736	25	1	0	15	0	1	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.641	2.00605e-12	8.28232e-10	0	28	5384.4604	5384.4604
0.39999999	0	0	0	86750255	1	0	0	0	296.61969	12.693537	5.917596e-12	8.273915e-10	-1790.667	7.7091023e+08	5.8599437e+08	1.0120931	0.040881614	1.0116794	23	0	0	21	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.625	5.872e-12	8.28722e-10	0	16	15883.475	15883.475
0.59999998	0	0	0	86750258	1	0	0	0	296.60237	12.693537	9.478324e-12	8.261765e-10	-1790.667	7.7091023e+08	5.8513385e+08	1.0118106	0.034662615	1.0114598	9	0	0	6	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.602	8.81626e-12	8.28054e-10	0	19	25440.859	25440.859
0.79999998	0	0	0	86750260	1	0	0	0	296.58944	12.693537	1.116292e-11	8.242829e-10	-1790.667	7.7091023e+08	5.8379272e+08	1.0119891	0.035225675	1.0116326	11	0	0	6	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.589	1.11629e-11	8.26089e-10	0	19	29962.499	29962.499
0.99999997	0	0	0	86750262	1	0	0	0	296.56439	12.693537	1.150577e-11	8.275869e-10	-1790.667	7.7091023e+08	5.8613276e+08	1.012232	0.034743023	1.0118803	9	0	0	7	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.574	1.18652e-11	8.25935e-10	0	12	30882.746	30882.746
1.2	0	0	0	86750265	1	0	0	0	296.54691	12.693537	1.140761e-11	8.254197e-10	-1790.667	7.7091023e+08	5.8459785e+08	1.0122362	0.034648041	1.0118854	9	0	0	6	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.547	1.12097e-11	8.25269e-10	0	15	30619.273	30619.273
1.4	0	0	0	86750267	1	0	0	0	296.53546	12.693537	1.229332e-11	8.239667e-10	-1790.667	7.7091023e+08	5.8356878e+08	1.0121686	12.52977	0.88534624	7	0	0	4	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.535	1.22933e-11	8.25363e-10	0	34	32996.616	32996.616
1.6	0	0	0	86750270	1	0	0	0	296.51071	12.693537	1.535789e-11	8.252989e-10	-1790.667	7.7091023e+08	5.845123e+08	1.0120813	0.033831275	1.0117389	7	0	0	4	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.52	1.51487e-11	8.24144e-10	0	20	41222.257	41222.257
1.8	0	0	0	86750272	1	0	0	0	296.49552	12.693537	2.121594e-11	8.229151e-10	-1790.667	7.7091023e+08	5.8282399e+08	1.0122643	0.034520628	1.0119149	10	0	0	7	0	1	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.496	2.12159e-11	8.23634e-10	0	8	56945.904	56945.904
1.9999999	0	0	0	86750274	1	0	0	0	296.48016	12.693537	2.897094e-11	8.242651e-10	-1790.667	7.7091023e+08	5.8378012e+08	1.0119418	7.1776146	0.93930848	13	0	0	7	0	0	0	0	0	16.997457	0	8.9973398	0	0	0	0	0	0	297.846	-5.22782e-13	296.48	2.89709e-11	8.23695e-10	0	34	77761.173	77761.173
