Reference,Edge Energy (eV),Edge Energy (eV)_PVfit_of 1derivative, Edge Energy (eV)_2derivative 
Ni metal,8333.6,8333.282300468161,8333.6 
NiO,8346.8,8333.282300468161,8346.8 
NiFe2O4,8345.4,8333.282300468161,8345.2 
