	Cu metal	Cu2O	CuO	
8985	0.577287012452886	0.565392375290476	0.499102856633388	
8985.2	0.585647930270855	0.576222338333554	0.512433611786052	
8985.4	0.591131914217288	0.587159661604285	0.520930025062115	
8985.6	0.599492832035262	0.607517844920492	0.525806113551062	
8985.8	0.609497712065486	0.614782553710378	0.52585954989807	
8986	0.617584636181396	0.634035821342355	0.525875746959273	
8986.2	0.625534563446281	0.641255796704347	0.521112178415508	
8986.4	0.634169474966284	0.649674627950052	0.51509058270238	
8986.6	0.643900361294542	0.666458610328121	0.51499132183175	
8986.8	0.655001216132865	0.673785945918049	0.515007518892953	
8987	0.666102070971334	0.6821913571356	0.518565786876437	
8987.2	0.681038837638554	0.709510061928601	0.523391506649214	
8987.4	0.694194645242153	0.717186318260526	0.531768698816844	
8987.6	0.70461051582561	0.733782420238606	0.542595826752631	
8987.8	0.720232266747644	0.749461486932399	0.55932375318583	
8988	0.732703090096344	0.760452490317491	0.569329762963348	
8988.2	0.743803944934868	0.766648070166624	0.580185966389854	
8988.4	0.761069658069184	0.784205940857214	0.602388882148188	
8988.6	0.77296313754575	0.80340552837475	0.624456817413323	
8988.8	0.794368112678924	0.820368444466872	0.65072524923976	
8989	0.810224715345741	0.839496458498216	0.678968344804697	
8989.2	0.829995513756186	0.853068580709215	0.709601582676645	
8989.4	0.851371132421324	0.862950195067438	0.726644442688091	
8989.6	0.870828795172309	0.876562577364049	0.753030346541419	
8989.8	0.889190483114762	0.89787805604948	0.785768127202877	
8990	0.916456966373928	0.911266771203556	0.804136191011007	
8990.2	0.928350445850493	0.928594712071911	0.853424648852714	
8990.4	0.943727559538739	0.948816011096318	0.875219551612191	
8990.6	0.966199153012263	0.974085924863483	0.898570013812318	
8990.8	0.984971831507744	0.999302158514921	0.952671549034519	
8991	0.999223613919794	1.02203121354232	0.984291147382056	
8991.2	1.01785929556465	1.03789279262479	1.02278651786466	
8991.4	1.03457702129488	1.06821668914414	1.05452400570219	
8991.6	1.04841781315373	1.09797515512756	1.08244102127869	
8991.8	1.05842269318396	1.1172284227585	1.10423592403796	
8992	1.07198949134096	1.13648169039048	1.12603082679729	
8992.2	1.08788523596511	1.16295493338444	1.13597186874133	
8992.4	1.09898609080348	1.17743961753593	1.15656810748745	
8992.6	1.10734700862143	1.19068518571875	1.16787018901428	
8992.8	1.11283099256787	1.20630162561181	1.18324706964167	
8993	1.11845197336538	1.2148322904294	1.19398018361363	
8993.2	1.12119602029133	1.22325559501839	1.20254556077993	
8993.4	1.12120013019686	1.23403187794662	1.21292041507911	
8993.6	1.12120424010239	1.23665773020053	1.2268917795733	
8993.8	1.12011237519975	1.24606964355961	1.23780295705621	
8994	1.11655456697863	1.24988093166866	1.24871413453921	
8994.2	1.1121747776514	1.25580811094665	1.25962531202209	
8994.4	1.10793198517524	1.26067063462574	1.27053648950442	
8994.6	1.10245622103981	1.26433430242093	1.28133719565261	
8994.8	1.09684346005341	1.26908946587184	1.29018619115502	
8995	1.09027172110978	1.27162137792555	1.30700561088038	
8995.2	1.08328899161311	1.27804509825989	1.32042075426187	
8995.4	1.07671725266957	1.28262580133957	1.33601974309265	
8995.6	1.06699458615239	1.2825184411111	1.34733242462766	
8995.8	1.05809390074142	1.28001336911454	1.37238349691537	
8996	1.052481139755	1.27506585192093	1.38227874443538	
8996.2	1.0470053756196	1.2667230675036	1.40148007145676	
8996.4	1.04139261463317	1.26074220811146	1.41007938767258	
8996.6	1.03591685049776	1.25577232420351	1.42702757573168	
8996.8	1.03030408951139	1.24499604127536	1.44270700018184	
8997	1.02373235056773	1.23652800325776	1.44513995546007	
8997.2	1.01784559587928	1.22557278661475	1.44515615252128	
8997.4	1.0153837624664	1.20638661912651	1.4427515906442	
8997.6	1.01237394164939	1.1931857843723	1.43793075911942	
8997.8	1.01032309878961	1.18475353309811	1.43189704424048	
8998	1.01032720869514	1.17392357005512	1.42705643272278	
8998.2	1.01033131860067	1.16309360701213	1.41863387021864	
8998.4	1.0103354285062	1.15586021162205	1.41016840110327	
8998.6	1.01033953841173	1.1390851759297	1.40527717844805	
8998.8	1.01198761052956	1.13056793114138	1.39688326783959	
8999	1.01623862281683	1.12333006240796	1.38604716045617	
8999.2	1.02172260676329	1.11492912453323	1.37752179296304	
8999.4	1.02734358756078	1.104152841605	1.37259299629528	
8999.6	1.03282757150728	1.09332287856193	1.36423665969981	
8999.8	1.03844855230471	1.08482800048741	1.355771190584	
9000	1.0450285110594	1.0798939033227	1.3548673910316	
9000.2	1.05475939738766	1.07160479901922	1.34623039330361	
9000.4	1.06586025222603	1.06318149443074	1.33534033733013	
9000.6	1.0758651322563	1.05820713717998	1.32445028135659	
9000.8	1.08285608156394	1.04995829296227	1.31379073100954	
9001	1.08943604031863	1.04381639322772	1.30482296659338	
9001.2	1.09807095183867	1.0408147801745	1.28304774247565	
9001.4	1.1061578759545	1.03605961672362	1.26955864262962	
9001.6	1.11410780321942	1.03250330915686	1.25172236659691	
9001.8	1.12164673993123	1.0299982371603	1.23492850937532	
9002	1.12726772072872	1.0252296536808	1.2265232775249	
9002.2	1.13110774246288	1.02174044625689	1.21869906399276	
9002.4	1.13248182087863	1.02174044625689	1.19970080087556	
9002.6	1.13248593078417	1.02174044625689	1.18881074490207	
9002.8	1.1324900406897	1.02174044625689	1.1780179439248	
9003	1.13249415059523	1.02174044625689	1.16968897426128	
9003.2	1.13249826050076	1.02179412637119	1.16452183065324	
9003.4	1.13031042078989	1.02539069402345	1.15030923614055	
9003.6	1.12373868184624	1.02779735247747	1.14529913732993	
