# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_002_Ru-CGO-ex_Activtation_ramp_000002_data_000133.dat
#       q_nm^-1             I 
  2.003187e-02    2.226973e-02
  3.590745e-02    1.634755e-01
  5.178302e-02    1.161195e-01
  6.765859e-02    4.303336e-02
  8.353417e-02    1.639995e-02
  9.940974e-02    3.703360e-02
  1.152853e-01    6.547923e-02
  1.311609e-01    3.211923e-02
  1.470365e-01    0.000000e+00
  1.629120e-01    0.000000e+00
  1.787876e-01    0.000000e+00
  1.946632e-01    2.105697e-02
  2.105388e-01    9.712745e-02
  2.264143e-01    4.717397e-02
  2.422899e-01    3.266953e-02
  2.581655e-01    5.164663e-02
  2.740411e-01    3.911938e-02
  2.899166e-01    2.378277e-02
  3.057922e-01    5.747886e-03
  3.216678e-01    1.630874e-02
  3.375433e-01    3.647384e-02
  3.534189e-01    4.363256e-02
  3.692945e-01    4.038307e-02
  3.851701e-01    3.984596e-02
  4.010456e-01    2.799378e-02
  4.169212e-01    3.631094e-02
  4.327968e-01    7.379235e-02
  4.486724e-01    8.747415e-02
  4.645479e-01    4.272827e-02
  4.804235e-01    1.157729e-02
  4.962991e-01    2.783553e-02
  5.121747e-01    2.068589e-02
  5.280502e-01    1.468371e-02
  5.439258e-01    2.375513e-02
  5.598014e-01    7.862455e-02
  5.756770e-01    6.044523e-02
  5.915525e-01    6.502255e-02
  6.074281e-01    4.630724e-02
  6.233037e-01    2.149663e-02
  6.391793e-01    3.488153e-02
  6.550548e-01    5.475996e-02
  6.709304e-01    4.899248e-02
  6.868060e-01    4.764091e-02
  7.026815e-01    5.364038e-02
  7.185571e-01    5.581335e-02
  7.344327e-01    4.979347e-02
  7.503083e-01    3.010921e-02
  7.661838e-01    6.351087e-02
  7.820594e-01    1.006406e-01
  7.979350e-01    1.500929e-01
  8.138106e-01    2.407874e-01
  8.296861e-01    2.922064e-01
  8.455617e-01    3.349985e-01
  8.614373e-01    4.028838e-01
  8.773129e-01    5.020052e-01
  8.931884e-01    5.391611e-01
  9.090640e-01    5.266990e-01
  9.249396e-01    6.929076e-01
  9.408152e-01    7.623762e-01
  9.566907e-01    7.637490e-01
  9.725663e-01    9.467989e-01
  9.884419e-01    9.784378e-01
  1.004317e+00    1.027036e+00
  1.020193e+00    1.169472e+00
  1.036069e+00    1.207717e+00
  1.051944e+00    1.249564e+00
  1.067820e+00    1.320349e+00
  1.083695e+00    1.397360e+00
  1.099571e+00    1.292128e+00
  1.115446e+00    1.480067e+00
  1.131322e+00    1.516623e+00
  1.147198e+00    1.439805e+00
  1.163073e+00    1.534310e+00
  1.178949e+00    1.531902e+00
  1.194824e+00    1.529129e+00
  1.210700e+00    1.781316e+00
  1.226575e+00    1.984906e+00
  1.242451e+00    2.221952e+00
  1.258327e+00    2.334545e+00
  1.274202e+00    2.247461e+00
  1.290078e+00    2.311637e+00
  1.305953e+00    2.336373e+00
  1.321829e+00    2.484066e+00
  1.337705e+00    2.597404e+00
  1.353580e+00    2.682601e+00
  1.369456e+00    2.566346e+00
  1.385331e+00    2.610570e+00
  1.401207e+00    2.694439e+00
  1.417082e+00    2.596037e+00
  1.432958e+00    2.626597e+00
  1.448834e+00    2.670946e+00
  1.464709e+00    2.691655e+00
  1.480585e+00    2.723362e+00
  1.496460e+00    2.593548e+00
  1.512336e+00    2.775057e+00
  1.528211e+00    3.077204e+00
  1.544087e+00    3.090357e+00
  1.559963e+00    3.045911e+00
  1.575838e+00    3.040255e+00
  1.591714e+00    2.880996e+00
  1.607589e+00    2.893401e+00
  1.623465e+00    2.798808e+00
  1.639340e+00    2.728851e+00
  1.655216e+00    2.889254e+00
  1.671092e+00    2.997586e+00
  1.686967e+00    2.752575e+00
  1.702843e+00    2.665162e+00
  1.718718e+00    2.734509e+00
  1.734594e+00    2.819330e+00
  1.750469e+00    2.743449e+00
  1.766345e+00    2.684103e+00
  1.782221e+00    2.764081e+00
  1.798096e+00    2.823787e+00
  1.813972e+00    2.762267e+00
  1.829847e+00    2.677859e+00
  1.845723e+00    2.555612e+00
  1.861598e+00    2.572980e+00
  1.877474e+00    2.612602e+00
  1.893350e+00    2.682338e+00
  1.909225e+00    2.748366e+00
  1.925101e+00    2.768821e+00
  1.940976e+00    2.877823e+00
  1.956852e+00    2.717095e+00
  1.972727e+00    2.703160e+00
  1.988603e+00    2.832173e+00
  2.004479e+00    2.698301e+00
  2.020354e+00    2.686904e+00
  2.036230e+00    2.755049e+00
  2.052105e+00    2.741578e+00
  2.067981e+00    2.763866e+00
  2.083856e+00    2.723018e+00
  2.099732e+00    2.728608e+00
  2.115608e+00    2.665404e+00
  2.131483e+00    2.731198e+00
  2.147359e+00    2.773284e+00
  2.163234e+00    2.731061e+00
  2.179110e+00    2.679795e+00
  2.194985e+00    2.754719e+00
  2.210861e+00    2.696759e+00
  2.226737e+00    2.617588e+00
  2.242612e+00    2.625596e+00
  2.258488e+00    2.643414e+00
  2.274363e+00    2.789965e+00
  2.290239e+00    2.852402e+00
  2.306115e+00    2.792329e+00
  2.321990e+00    2.658957e+00
  2.337866e+00    2.669393e+00
  2.353741e+00    2.711453e+00
  2.369617e+00    2.628078e+00
  2.385492e+00    2.627362e+00
  2.401368e+00    2.669726e+00
  2.417244e+00    2.736068e+00
  2.433119e+00    2.700933e+00
  2.448995e+00    2.771307e+00
  2.464870e+00    2.750153e+00
  2.480746e+00    2.725975e+00
  2.496621e+00    2.738357e+00
  2.512497e+00    2.692325e+00
  2.528373e+00    2.710236e+00
  2.544248e+00    2.815023e+00
  2.560124e+00    2.722321e+00
  2.575999e+00    2.728228e+00
  2.591875e+00    2.741924e+00
  2.607750e+00    2.736734e+00
  2.623626e+00    2.808080e+00
  2.639502e+00    2.747864e+00
  2.655377e+00    2.783760e+00
  2.671253e+00    2.746250e+00
  2.687128e+00    2.740758e+00
  2.703004e+00    2.743484e+00
  2.718879e+00    2.759584e+00
  2.734755e+00    2.724022e+00
  2.750631e+00    2.758033e+00
  2.766506e+00    2.758808e+00
  2.782382e+00    2.751382e+00
  2.798257e+00    2.814580e+00
  2.814133e+00    2.776173e+00
  2.830008e+00    2.797071e+00
  2.845884e+00    2.718812e+00
  2.861760e+00    2.750291e+00
  2.877635e+00    2.902721e+00
  2.893511e+00    2.825990e+00
  2.909386e+00    2.870279e+00
  2.925262e+00    2.903777e+00
  2.941137e+00    2.809626e+00
  2.957013e+00    2.779540e+00
  2.972889e+00    2.821623e+00
  2.988764e+00    2.865219e+00
  3.004640e+00    2.887935e+00
  3.020515e+00    2.863964e+00
  3.036391e+00    2.908492e+00
  3.052266e+00    2.897031e+00
  3.068142e+00    2.883604e+00
  3.084018e+00    2.887662e+00
  3.099893e+00    2.779026e+00
  3.115769e+00    2.819026e+00
  3.131644e+00    2.881815e+00
  3.147520e+00    2.864666e+00
  3.163395e+00    2.896786e+00
  3.179271e+00    2.913577e+00
  3.195147e+00    2.945671e+00
  3.211022e+00    2.856547e+00
  3.226898e+00    2.886633e+00
  3.242773e+00    2.938298e+00
  3.258649e+00    2.916457e+00
  3.274525e+00    2.992691e+00
  3.290400e+00    2.951526e+00
  3.306276e+00    2.931898e+00
  3.322151e+00    3.015330e+00
  3.338027e+00    2.996083e+00
  3.353902e+00    2.991837e+00
  3.369778e+00    2.912421e+00
  3.385654e+00    2.872235e+00
  3.401529e+00    2.917677e+00
  3.417405e+00    2.929545e+00
  3.433280e+00    2.870131e+00
  3.449156e+00    2.828088e+00
  3.465031e+00    2.918532e+00
  3.480907e+00    2.936760e+00
  3.496783e+00    2.896701e+00
  3.512658e+00    2.943093e+00
  3.528534e+00    2.873112e+00
  3.544409e+00    2.905890e+00
  3.560285e+00    2.971088e+00
  3.576160e+00    2.970576e+00
  3.592036e+00    2.956522e+00
  3.607912e+00    2.958409e+00
  3.623787e+00    2.941330e+00
  3.639663e+00    2.993203e+00
  3.655538e+00    2.974660e+00
  3.671414e+00    2.931146e+00
  3.687289e+00    2.923259e+00
  3.703165e+00    2.956788e+00
  3.719041e+00    2.976524e+00
  3.734916e+00    2.933846e+00
  3.750792e+00    2.910423e+00
  3.766667e+00    2.950056e+00
  3.782543e+00    2.995872e+00
  3.798418e+00    2.963325e+00
  3.814294e+00    2.880748e+00
  3.830170e+00    2.908063e+00
  3.846045e+00    2.927608e+00
  3.861921e+00    2.961506e+00
  3.877796e+00    2.945846e+00
  3.893672e+00    2.988513e+00
  3.909547e+00    2.928232e+00
  3.925423e+00    2.959673e+00
  3.941299e+00    2.925689e+00
  3.957174e+00    2.861545e+00
  3.973050e+00    2.913308e+00
  3.988925e+00    3.035840e+00
  4.004801e+00    3.043597e+00
  4.020676e+00    3.009149e+00
  4.036552e+00    3.010163e+00
  4.052428e+00    2.959912e+00
  4.068303e+00    2.954590e+00
  4.084179e+00    2.984019e+00
  4.100054e+00    2.989356e+00
  4.115930e+00    2.968407e+00
  4.131806e+00    3.018346e+00
  4.147681e+00    3.081181e+00
  4.163557e+00    3.058185e+00
  4.179432e+00    3.019382e+00
  4.195308e+00    2.993635e+00
  4.211183e+00    2.983837e+00
  4.227059e+00    3.021944e+00
  4.242935e+00    3.088738e+00
  4.258810e+00    3.024407e+00
  4.274686e+00    2.960583e+00
  4.290561e+00    3.043652e+00
  4.306437e+00    3.027524e+00
  4.322312e+00    3.082427e+00
  4.338188e+00    3.057238e+00
  4.354064e+00    3.071522e+00
  4.369939e+00    3.017905e+00
  4.385815e+00    2.976704e+00
  4.401690e+00    2.994890e+00
  4.417566e+00    3.031616e+00
  4.433441e+00    3.038343e+00
  4.449317e+00    3.012169e+00
  4.465193e+00    3.013186e+00
  4.481068e+00    3.071943e+00
  4.496944e+00    3.073531e+00
  4.512819e+00    3.099890e+00
  4.528695e+00    3.005971e+00
  4.544570e+00    3.030837e+00
  4.560446e+00    3.102940e+00
  4.576322e+00    3.087124e+00
  4.592197e+00    3.059120e+00
  4.608073e+00    3.062273e+00
  4.623948e+00    3.049339e+00
  4.639824e+00    3.069358e+00
  4.655699e+00    3.097898e+00
  4.671575e+00    3.059996e+00
  4.687451e+00    3.034323e+00
  4.703326e+00    3.085931e+00
  4.719202e+00    3.049041e+00
  4.735077e+00    3.216009e+00
