# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_002_Ru-CGO-ex_Activtation_ramp_000002_data_000156.dat
#       q_nm^-1             I 
  2.003187e-02    0.000000e+00
  3.590745e-02    3.429401e-02
  5.178302e-02    1.896245e-01
  6.765859e-02    1.811644e-01
  8.353417e-02    7.878944e-02
  9.940974e-02    1.064913e-01
  1.152853e-01    8.964861e-02
  1.311609e-01    6.152998e-02
  1.470365e-01    3.849993e-02
  1.629120e-01    3.216825e-02
  1.787876e-01    3.923429e-02
  1.946632e-01    1.604463e-02
  2.105388e-01    3.720579e-02
  2.264143e-01    2.105133e-02
  2.422899e-01    8.584212e-03
  2.581655e-01    3.072095e-02
  2.740411e-01    5.190238e-02
  2.899166e-01    3.321337e-02
  3.057922e-01    3.151140e-02
  3.216678e-01    2.839583e-02
  3.375433e-01    2.533131e-02
  3.534189e-01    1.109220e-02
  3.692945e-01    9.793037e-03
  3.851701e-01    2.778502e-02
  4.010456e-01    6.977468e-02
  4.169212e-01    2.420608e-02
  4.327968e-01    2.307091e-02
  4.486724e-01    3.489543e-02
  4.645479e-01    3.313419e-02
  4.804235e-01    2.378519e-02
  4.962991e-01    3.039241e-02
  5.121747e-01    1.739940e-02
  5.280502e-01    2.187251e-02
  5.439258e-01    2.590939e-02
  5.598014e-01    3.951595e-02
  5.756770e-01    4.639519e-02
  5.915525e-01    5.114968e-02
  6.074281e-01    1.525195e-02
  6.233037e-01    1.086845e-02
  6.391793e-01    3.999845e-02
  6.550548e-01    3.596805e-02
  6.709304e-01    3.734324e-02
  6.868060e-01    3.062577e-02
  7.026815e-01    4.471287e-02
  7.185571e-01    5.455980e-02
  7.344327e-01    3.691964e-02
  7.503083e-01    4.733034e-02
  7.661838e-01    4.725263e-02
  7.820594e-01    1.065998e-01
  7.979350e-01    1.444489e-01
  8.138106e-01    1.876608e-01
  8.296861e-01    2.326088e-01
  8.455617e-01    2.767223e-01
  8.614373e-01    3.494685e-01
  8.773129e-01    4.102787e-01
  8.931884e-01    4.593080e-01
  9.090640e-01    5.009699e-01
  9.249396e-01    5.779016e-01
  9.408152e-01    7.188655e-01
  9.566907e-01    7.903039e-01
  9.725663e-01    8.698295e-01
  9.884419e-01    9.197310e-01
  1.004317e+00    1.042053e+00
  1.020193e+00    1.147138e+00
  1.036069e+00    1.227774e+00
  1.051944e+00    1.282658e+00
  1.067820e+00    1.329987e+00
  1.083695e+00    1.318631e+00
  1.099571e+00    1.470186e+00
  1.115446e+00    1.480572e+00
  1.131322e+00    1.478456e+00
  1.147198e+00    1.424785e+00
  1.163073e+00    1.413782e+00
  1.178949e+00    1.448753e+00
  1.194824e+00    1.655430e+00
  1.210700e+00    1.896800e+00
  1.226575e+00    2.110569e+00
  1.242451e+00    2.192921e+00
  1.258327e+00    2.298802e+00
  1.274202e+00    2.356958e+00
  1.290078e+00    2.383863e+00
  1.305953e+00    2.432277e+00
  1.321829e+00    2.576911e+00
  1.337705e+00    2.437553e+00
  1.353580e+00    2.426436e+00
