,monoE,roi4_mean,roi4_std,mcaLt_mean,mcaLt_std,roi4/mcaLt_mean,roi4/mcaLt_std
97,8.392,5480.0,,1.6951203,,3232.808904477163,
98,8.393,5460.0,,1.704727,,3202.8588741775075,
99,8.394,5370.0,,1.6965139,,3165.314472224484,
100,8.395,5484.0,,1.6910509,,3242.953834210431,
101,8.395999999999999,5480.0,,1.6954093,,3232.2578388593247,
102,8.397,5580.0,,1.6802877,,3320.859874175119,
103,8.398,5651.0,,1.6848435,,3354.0207146835896,
104,8.399,5506.0,,1.6818934,,3273.691424200844,
105,8.4,5514.0,,1.6881139,,3266.367275336101,
106,8.401,5630.0,,1.6884346,,3334.449554634808,
107,8.402,5678.0,,1.6910774,,3357.622779418612,
108,8.403,5825.0,,1.6778019,,3471.8043888256416,
109,8.404,5716.0,,1.6845315,,3393.228324908142,
110,8.405,6053.0,,1.6921581,,3577.0889256742616,
111,8.406,5840.0,,1.6746115,,3487.3760272158647,
112,8.407,5928.0,,1.6689936,,3551.84106158346,
113,8.408,6040.0,,1.6850496,,3584.464219925633,
114,8.409,6062.0,,1.662495,,3646.326755869942,
115,8.41,6131.0,,1.6723162,,3666.172701071723,
116,8.411,6081.0,,1.6704346,,3640.3699971252986,
117,8.411999999999999,6141.0,,1.6634653,,3691.691074048855,
118,8.413,6232.0,,1.6604192,,3753.269053983476,
119,8.414,6150.0,,1.6629667,,3698.2099521295286,
120,8.415,6347.0,,1.6487715,,3849.532818829049,
121,8.416,6408.0,,1.6545334,,3872.995250503858,
122,8.417,6320.0,,1.650879,,3828.263609870863,
123,8.418,6377.0,,1.6540416,,3855.404845924069,
124,8.419,6447.0,,1.6524195,,3901.551633831482,
125,8.42,6582.0,,1.644199,,4003.1650670022304,
126,8.421,6820.0,,1.6574893,,4114.657029761821,
127,8.422,6608.0,,1.6400976,,4029.0285163517096,
128,8.423,6779.0,,1.6283459,,4163.120378784385,
129,8.424,6872.0,,1.6339411,,4205.78195872544,
130,8.425,6807.0,,1.6346003,,4164.320782273196,
131,8.426,6847.0,,1.6352083,,4187.234127908964,
132,8.427,6860.0,,1.6312608,,4205.336142448835,
133,8.427999999999999,7010.0,,1.624809,,4314.353256290432,
