Condition,Corrected_Edge
002_S7-NiFe-6Sm_Activation_2,8.334499999999998
003_S7-NiFe-6Sm_Reaction_1,8.334999999999999
004_S7-NiFe-6Sm_PM_RT_2,8.334999999999999
S7-FeNi-6Sm_Activation_ramp_1,8.3495
