Condition,Corrected_Edge
002_S7-NiFe-6Sm_Activation_1,7.114
002_S7-NiFe-6Sm_Activation_1,7.113
003_S7-NiFe-6Sm_Reaction_2,7.113
003_S7-NiFe-6Sm_Reaction_1,7.112
004_S7-NiFe-6Sm_PM_RT_1,7.113
