Energy	Fe foil	Fe2O4	Fe3O4	FeO	NiF2O4
7093	0.00316327352877129	0.0112796252752416	-6.887705874878E-5	0.00124254233481856	-2.07282161305814E-5
7093.2	0.00195048856627733	0.0103926409727251	-6.34608442538069E-5	6.25353742175372E-5	-1.90982326977668E-5
7093.4	0.00303005364462986	0.00950565667020865	-5.80446297588337E-5	2.46520476211116E-4	-1.74682492649523E-5
7093.6	0.00419223299873704	0.00861867236768814	-5.26284152638259E-5	4.80200713859895E-4	-1.58382658321128E-5
7093.8	0.00421809791443397	0.00773168806517168	-4.72122007688527E-5	4.89612541163201E-4	-1.42082823992983E-5
7094	0.00411485708372188	0.00684470376265519	-4.1795986273868E-5	4.87715816059127E-4	-1.25782989664837E-5
7094.2	0.00290207212126084	0.00595771946013871	-3.63797717788949E-5	2.50718934548122E-4	-1.09483155336691E-5
7094.4	0.00175457108281282	0.00507073515762223	-3.09635572839101E-5	-8.33823300586627E-7	-9.31833210085455E-6
7094.6	0.00172879997686343	0.00418375085510172	-2.55473427889139E-5	-2.38322537358385E-4	-7.68834866803998E-6
7094.8	0.00170302887091417	0.00329676655258523	-2.01311282939292E-5	-4.60656504626335E-4	-6.0583652352254E-6
7095	0.00167725776496562	0.00240978225006876	-1.4714913798956E-5	-2.26976266972179E-4	-4.42838180241083E-6
7095.2	0.00161724903135464	0.00152279794755228	-9.29869930397129E-6	2.15418942940338E-6	-2.79839836959625E-6
7095.4	6.41791965070866E-4	6.35813645035802E-4	-3.88248480899811E-6	2.5746432532953E-7	-1.16841493678168E-6
7095.6	-2.53532322078704E-4	-2.5117065748471E-4	1.53372968599814E-6	-1.01708235385911E-7	4.61568496032897E-7
7095.8	0.00185968249983523	-0.0011381549600012	6.94994418098285E-6	2.33578529412337E-4	2.09155192884747E-6
7096	0.00389638848662016	-0.00202513926251767	1.2366158675956E-5	4.67258767060061E-4	3.72153536166205E-6
7096.2	0.00173466604932856	-0.00291212356503415	1.77823731709407E-5	2.32749743941579E-4	5.35151879447662E-6
7096.4	-4.20416517490197E-4	-0.00379910786755063	2.31985876659139E-5	-4.73897012094083E-6	6.9815022272912E-6
7096.6	-0.00163320147998701	-0.00468609217007114	2.86148021609217E-5	-4.73347223467828E-4	8.61148566010577E-6
7096.8	-0.0028459864424783	-0.00557307647258763	3.40310166558949E-5	-9.46442954109301E-4	1.02414690929203E-5
7097	-0.00169157029169476	-0.0064600607751041	3.94472311508796E-5	-0.00141953868475182	1.18714525257349E-5
7097.2	-5.29390937590132E-4	-0.00734704507762058	4.48634456458528E-5	-0.00189263441539436	1.35014359585495E-5
7097.4	3.97963384258372E-4	-0.00448628103726059	5.02796601408259E-5	-0.00191543489073777	1.51314193913641E-5
