# Scan number: 4
# Command: ascan mz -1.4 2.2 20 1
# Date: Sun Jul 28 20:22:36 2024
# date: Sun Jul 28 20:22:36 2024
# C Sun Jul 28 20: 26:11 2024.  do ./2023-07_EXAFS.mac.
mz	H	K	L	Epoch	sec	no1	no2	izero	RCur	enc_det	K1_1	K1_2	"Counter 8"	"Counter 9"	ionch1	mcaRt	mcaDt	mcaLt	mca	roi1	roi2	roi3	roi4	roi5	roi6	ctm	ctran	LST1	LST2	E_det	mcaLt1	mcaLt2	mcaLt3	mcaLt4	mcaLt5	mcaLt6	mcaLt7	mcaLt8	AS_RC	AS_DM	AS_IC	AS_IC1	cyber	diode1	diode1
0.04	0	0	0	86760863	1	0	0	0	298.15465	16.142951	5.561999e-09	3.73408e-10	-1790.667	7.7091023e+08	2.0500827e+08	1.0119264	5.1816891	0.95949152	627	17	22	8	9	16	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.164	5.562e-09	3.74373e-10	0	21	17564037	17564037
0.22	0	0	0	86760866	1	0	0	0	298.14033	16.142951	8.184767e-09	3.749534e-10	-1790.667	7.7091023e+08	2.0585672e+08	1.012065	4.5207849	0.96631168	802	34	48	20	40	42	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.14	8.18477e-09	3.75314e-10	0	8	25846382	25846382
0.4	0	0	0	86760868	1	0	0	0	298.1159	16.142951	5.225451e-09	3.754046e-10	-1790.667	7.7091023e+08	2.0610444e+08	1.0118163	4.8260143	0.96298592	885	58	44	80	43	36	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.124	5.33206e-09	3.74547e-10	0	17	16501264	16501264
0.58	0	0	0	86760871	1	0	0	0	298.10105	16.142951	5.390903e-09	3.767404e-10	-1790.667	7.7091023e+08	2.0683782e+08	1.0118691	5.5381708	0.95583008	884	58	65	45	52	43	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.101	5.3909e-09	3.7542e-10	0	14	17023739	17023739
0.76	0	0	0	86760874	1	0	0	0	298.07619	16.142951	6.398501e-09	3.780585e-10	-1790.667	7.7091023e+08	2.0756148e+08	1.0118493	5.6928637	0.95424608	755	6	12	55	14	17	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.076	5.50576e-09	3.79215e-10	0	20	20205597	20205597
0.94	0	0	0	86760876	1	0	0	0	298.05311	16.142951	6.341796e-09	3.787299e-10	-1790.667	7.7091023e+08	2.0793009e+08	1.0121309	1.9944614	0.99194432	102	0	1	0	2	0	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.061	5.50576e-09	3.76868e-10	0	18	20026530	20026530
1.12	0	0	0	86760879	1	0	0	0	298.03825	16.142951	8.470019e-08	3.783853e-10	-1790.667	7.7091023e+08	2.077409e+08	1.0120774	3.2269784	0.97941792	123	1	0	0	1	1	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.038	8.43742e-08	3.80117e-10	0	13	2.674717e+08	2.674717e+08
1.3	0	0	0	86760882	1	0	0	0	298.0157	16.142951	8.449116e-08	3.778844e-10	-1790.667	7.7091023e+08	2.074659e+08	1.0120016	3.1343824	0.9802816	126	0	0	0	1	4	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	298.019	8.44912e-08	3.77227e-10	0	21	2.6681161e+08	2.6681161e+08
1.48	0	0	0	86760884	1	0	0	0	297.99947	16.142951	8.401849e-08	3.800942e-10	-1790.667	7.7091023e+08	2.0867912e+08	1.0118339	4.801452	0.9632512	121	0	0	0	2	2	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	297.999	8.47747e-08	3.79819e-10	0	18	2.6531898e+08	2.6531898e+08
1.66	0	0	0	86760887	1	0	0	0	297.97574	16.142951	8.499417e-08	3.774758e-10	-1790.667	7.7091023e+08	2.0724157e+08	1.0121946	4.6639255	0.96498656	145	0	0	0	0	4	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	297.976	8.49942e-08	3.78957e-10	0	17	2.6840004e+08	2.6840004e+08
1.84	0	0	0	86760889	1	0	0	0	297.95357	16.142951	8.454376e-08	3.77927e-10	-1790.667	7.7091023e+08	2.0748929e+08	1.011945	2.8044845	0.98356512	143	2	4	0	3	3	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	297.962	8.45438e-08	3.79075e-10	0	18	2.6697771e+08	2.6697771e+08
2.02	0	0	0	86760892	1	0	0	0	297.93828	16.142951	8.517489e-08	3.760405e-10	-1790.667	7.7091023e+08	2.0645356e+08	1.0120566	1.5827415	0.9960384	131	0	0	0	2	4	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	297.938	8.48652e-08	3.77774e-10	0	18	2.6897073e+08	2.6897073e+08
2.2	0	0	0	86760894	1	0	0	0	297.91424	16.142951	8.562466e-08	3.854623e-10	-1790.667	7.7091023e+08	2.1162631e+08	1.0119325	4.0742323	0.970704	120	0	0	0	0	3	0	0	0	16.997457	0	7.1107676	0	0	0	0	0	0	297.846	-5.22782e-13	297.918	8.56247e-08	3.83467e-10	0	17	2.7039105e+08	2.7039105e+08
