monoE,roi5_mean,roi5_std,mcaLt_mean,mcaLt_std,roi5/mcaLt_mean,roi5/mcaLt_std
7.062,162.25,11.176612486199325,1.857852875,0.0065275686930510056,87.33198850700109,5.993399592150637
7.064,151.75,13.022416570411709,1.8571738999999998,0.006211037136152607,81.7221837485127,7.193992883229982
7.066,148.25,10.372238588334406,1.855055275,0.007844736120216834,79.90996585779212,5.435185119035896
7.068,147.0,10.893423092245461,1.858449125,0.0060913135317844265,79.10968488733523,6.065147121860829
7.07,151.25,5.909032633745278,1.862181525,0.009479479132095464,81.22681657939077,3.3154759615100886
7.072,153.5,5.802298395176403,1.85370145,0.010426896954990992,82.79858054556499,2.767484554469425
7.074,146.5,8.58292879305582,1.8532929,0.004008987738403145,79.0489467971506,4.637077707983984
7.076,165.5,11.357816691600547,1.8535107750000002,0.0046885584297486965,89.28385904034174,6.00636277173833
7.078,157.5,6.557438524301998,1.854579025,0.005875391746584547,84.91735266521945,3.264854706429647
7.08,141.75,15.986973864159955,1.852217275,0.014835485323007382,76.52681015914715,8.55399997697241
7.082,155.25,6.701989754294366,1.852995825,0.004765304977560894,83.78292729741621,3.6052488760892234
7.084,147.5,5.972157622389635,1.853006175,0.008364287604402844,79.61192656617285,3.5643166146435514
7.086,142.0,4.96655480858378,1.85263215,0.0027465335321699706,76.6501296216006,2.7681286081567595
7.088,145.5,19.01753576746122,1.857056,0.006014491581172892,78.36002608860102,10.336968040600803
7.09,146.0,10.677078252031315,1.85172385,0.009773868668546824,78.85061698983354,5.826078560075818
7.092,147.375,12.861209674276921,1.850972125,0.005313975955306127,79.62271973487097,6.967749847658274
7.093,142.5,10.082988974836116,1.850612975,0.005588138710623264,77.00998592183997,5.590467171856006
7.094,156.0,9.556847457887633,1.8478857,0.005907311010942263,84.41922870507852,5.133369338202803
7.095,152.0,6.782329983125268,1.8510261749999999,0.008856859933172274,82.11871608631111,3.7157888534932004
7.096,147.0,14.047538337136986,1.85367025,0.008925479192551275,79.30143892568258,7.548671511035565
7.097,151.0,12.274635093014643,1.85651025,0.005305619083261458,81.34593893577816,6.777879373022624
7.098,148.0,16.673332000533065,1.8559724,0.008226806982460833,79.76893796444523,9.298413573713393
7.099,152.5,12.01388086062673,1.8565008,0.008770560788607908,82.1457483227505,6.489391113698246
7.1,147.0,14.399074044303452,1.85629785,0.004105788252780059,79.20209711953737,7.919690222677656
7.101,133.75,9.97914491994847,1.8439860750000001,0.011026871096061923,72.52702588169515,5.267172563052131
7.102,146.5,13.178264933847197,1.852476025,0.005853900179296492,79.09016579447,7.195745340470237
7.103,150.0,6.97614984548545,1.84777895,0.005308155172625113,81.17395505880977,3.6387432441666427
7.104,144.75,4.272001872658763,1.8553537,0.00859469049200335,78.02072819014826,2.4160341030259005
7.105,158.75,11.982626312012457,1.851284725,0.007703190607956001,85.7618625231855,6.64621798645977
7.106,155.25,9.429563439877088,1.852075525,0.0034979082676888664,83.83130245025413,5.228997936179279
7.107,151.75,9.429563439877091,1.8478912,0.0016974031243834993,82.11925277194895,5.07466188194693
7.108,168.25,6.994045086119097,1.85086015,0.0044141110018516205,90.90287438017624,3.7473223201455026
7.109,152.75,4.7871355387816905,1.850711525,0.005228251190965648,82.53520348683915,2.5541906097326432
7.11,153.75,13.937359864766357,1.854542875,0.001973625630449379,82.9073743365595,7.559007056265889
