,monoE,roi5_mean,roi5_std,mcaLt_mean,mcaLt_std,roi5/mcaLt_mean,roi5/mcaLt_std
0,7.059,378.5,62.932503525602726,1.8759376,0.0116526954898856,201.87385971078757,34.80119921908939
1,7.061,377.5,77.07463914933368,1.88185085,0.0019246739477117,200.62143167587277,41.16201344661978
2,7.063,377.5,75.66042558696059,1.87783955,0.0114225322326093,201.15515303246323,41.5147965150853
3,7.0649999999999995,368.5,71.4177848998413,1.87414385,0.0189095202531689,196.82537587762332,40.09279134647896
4,7.067,372.5,45.96194077712559,1.8742907,0.012958014607956,198.83136937445065,25.89694360965439
5,7.069,384.5,64.34671708797582,1.87540975,0.0141201446028359,205.1568419627312,35.85539712734819
6,7.071,341.0,33.94112549695428,1.87610305,0.0078534814652483,181.7991970887664,18.85231310811416
7,7.0729999999999995,382.5,62.932503525602726,1.8703733,0.0088050350606912,204.5860961394509,34.61014508442809
8,7.075,358.0,24.04163056034261,1.87701505,0.0154142914337636,190.7873843779016,14.37520860849201
9,7.077,387.5,62.932503525602726,1.8695472,0.0074760985761292,207.3384021140212,34.49101785631528
10,7.079,344.0,55.15432893255071,1.8750771,0.0197179554360993,183.6239339025836,31.34538706608017
11,7.0809999999999995,359.0,38.18376618407357,1.87486815,0.0135370643510695,191.5586492054548,21.74921364223492
12,7.083,358.0,45.254833995939045,1.87638065,0.0086850390399237,190.8507048477468,25.00152611269932
13,7.085,339.5,45.96194077712559,1.88060225,0.0089994187148393,180.5878204832262,25.304195072857315
14,7.087,345.0,19.79898987322333,1.8728624,0.011439007820611,184.24573003420744,11.696843409317648
15,7.0889999999999995,368.75,53.89727884287542,1.879093025,0.0117801846585343,196.37368996600628,29.832342117873623
16,7.09,360.5,47.37615433949868,1.8765659,0.0205531899660367,192.2560163334728,27.35189249965271
17,7.091,350.0,57.982756057296896,1.878996,0.0103735393227193,186.35770998307072,31.887212686933974
18,7.092,358.0,77.78174593052023,1.8793845,0.0096811403625811,190.59702169329813,42.368627840776064
19,7.093,367.5,67.17514421272202,1.8783715,0.0131755206538489,195.7784394855238,37.135692851888926
20,7.094,347.0,35.35533905932738,1.8778923,0.0079746088568655,184.82327183121828,19.61200456481316
21,7.095,328.5,26.16295090390226,1.88018865,0.0081822861185001,174.74844332936092,14.675544747058016
22,7.096,350.5,50.20458146424488,1.87860285,0.0031868595521296,186.5524268599221,26.40795795701756
23,7.0969999999999995,352.0,53.74011537017761,1.8846259,0.0139565908043476,186.88517648333544,29.898981705469392
24,7.098,348.0,90.50966799187808,1.8791272,0.0087805691660618,185.3069143161669,49.03168245873971
25,7.099,360.5,34.64823227814083,1.8822512,0.0038480751032171,191.5451937943021,18.799463413555834
26,7.1,366.5,45.96194077712559,1.86944575,0.0020016071655045,196.0606857469552,24.795786264774183
27,7.101,365.0,83.43860018001261,1.8705,0.0107758830812142,195.26672248694788,45.73256966115148
28,7.102,371.0,42.42640687119285,1.8775371,0.0105210417972744,197.66570682175853,23.70448820135292
29,7.103,390.5,67.17514421272202,1.88107055,0.0022806315013609,207.5730572778712,35.45946033733838
30,7.104,380.5,7.7781745930520225,1.8803552,0.0123033751499334,202.3461832840821,2.8125715768759054
31,7.1049999999999995,385.0,46.66904755831214,1.8810776,0.0088982317344514,204.73088945872013,25.778197803172077
32,7.106,400.5,44.54772721475249,1.8752472,0.0075510518949348,213.6214029594121,24.615844521387807
33,7.107,422.5,60.10407640085654,1.88205425,0.0023131584132956,224.5085416168497,32.211292646189264
34,7.108,426.5,47.37615433949868,1.8761771,0.0064413185125406,227.3686424991091,26.03203513442279
35,7.109,472.5,48.79036790187178,1.8815517,0.0034054262581943,251.1463952271129,26.385471327112118
36,7.11,555.0,45.254833995939045,1.8759445,0.0162879218619196,295.96685338883424,26.693497050501552
37,7.111,759.5,92.63098833543772,1.87796655,0.0066925535518963,404.5172580773223,50.76674115829512
38,7.112,1111.5,79.90306627407988,1.86917855,0.0023726968042715,594.6738524200227,43.5025573256769
39,7.1129999999999995,1447.5,170.41273426595797,1.85906115,0.0121681056226925,778.935496345338,96.76438220375508
40,7.114,1624.0,91.92388155425118,1.85931085,0.0101549726166543,873.5899410162037,54.21103388035158
41,7.115,1697.0,185.26197667087544,1.8523936,0.0086753516770214,916.356240956484,104.3037987836961
42,7.116,1832.0,134.35028842544403,1.8571603,0.0046770870934803,986.5464949817996,74.82630998748006
43,7.117,1893.5,140.71424945612296,1.86064525,0.0101395576888243,1017.8788953477406,81.173502168529
44,7.118,2073.5,183.1406563273158,1.85316365,0.0017873538108051,1118.9455841812926,99.9051583929383
45,7.119,2254.0,155.56349186104046,1.847121,0.0006788225099391,1220.2929517004245,84.66789895484636
46,7.12,2458.0,190.91883092036784,1.8461851,0.0047510504627923,1331.531599566977,106.83923553641124
47,7.1209999999999996,2582.5,226.98127676088177,1.8487362,0.0093372036242121,1397.2280847176305,129.8332774018048
48,7.122,2787.0,233.3452377915607,1.84450445,0.0099490631219726,1511.3381115553257,134.66036151990184
49,7.123,2971.0,226.2741699796952,1.8310544,0.0016631151493508,1622.6191783331064,125.04968313164711
50,7.124,3231.0,135.7645019878171,1.8327117,0.0106353102531145,1763.2060372006194,84.31044841019464
51,7.125,3530.0,258.8010819142764,1.82638655,0.0105226681428713,1933.2184300076376,152.83933069969757
52,7.1259999999999994,3715.0,206.47518010647187,1.82303155,0.0051547377241717,2037.9827014021623,119.02177250777632
53,7.127,3728.5,222.73863607376248,1.82331135,0.0021908289401502,2044.980693624616,124.61878162465445
54,7.128,3869.0,263.0437226013957,1.82952655,0.0050669150619484,2114.9619787289603,149.634371420773
55,7.129,3931.5,171.82694782833104,1.82217265,0.00951956646308,2157.864950861527,105.57116343855132
56,7.13,3936.0,147.07821048680188,1.820376,0.0049264129445266,2162.089258830456,74.9443334645575
57,7.131,3862.5,194.45436482630055,1.8256357,0.0032481657100585,2115.799499350384,110.27765956233732
58,7.132,3837.5,111.01576464628796,1.82165875,0.0021539179661722,2106.634030517726,63.43300112206521
59,7.133,3940.5,137.88582233137677,1.82435315,0.0021426042576733,2159.9895214343933,78.11745498755658
60,7.1339999999999995,3967.0,117.37972567696688,1.82547215,0.003473096377154,2173.2015149562594,68.435699764243
61,7.135,4088.0,49.49747468305833,1.81953555,0.0024435489037463,2246.710953244138,24.18613178303839
