# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023_data_000066.dat
#       q_nm^-1             I 
  2.003187e-02    0.000000e+00
  3.590745e-02    0.000000e+00
  5.178302e-02    1.490579e-01
  6.765859e-02    2.835841e-01
  8.353417e-02    2.120601e-01
  9.940974e-02    1.974460e-01
  1.152853e-01    1.256428e-02
  1.311609e-01    6.316211e-03
  1.470365e-01    5.842787e-02
  1.629120e-01    4.057018e-02
  1.787876e-01    8.835183e-02
  1.946632e-01    6.315497e-02
  2.105388e-01    1.023969e-01
  2.264143e-01    5.291458e-02
  2.422899e-01    5.436834e-02
  2.581655e-01    5.669782e-02
  2.740411e-01    6.461696e-02
  2.899166e-01    6.139474e-02
  3.057922e-01    3.666877e-02
  3.216678e-01    4.299857e-02
  3.375433e-01    9.800668e-04
  3.534189e-01    2.935961e-02
  3.692945e-01    7.016941e-02
  3.851701e-01    4.743278e-02
  4.010456e-01    2.008327e-02
  4.169212e-01    2.819471e-02
  4.327968e-01    4.673721e-02
  4.486724e-01    3.799235e-02
  4.645479e-01    6.157523e-02
  4.804235e-01    4.780572e-02
  4.962991e-01    4.270637e-02
  5.121747e-01    6.940784e-02
  5.280502e-01    3.408861e-02
  5.439258e-01    3.138294e-02
  5.598014e-01    4.873830e-02
  5.756770e-01    3.224247e-02
  5.915525e-01    4.154595e-02
  6.074281e-01    7.816259e-02
  6.233037e-01    4.978645e-02
  6.391793e-01    4.017089e-02
  6.550548e-01    3.906862e-02
  6.709304e-01    3.213605e-02
  6.868060e-01    5.465668e-02
  7.026815e-01    5.122137e-02
  7.185571e-01    4.011166e-02
  7.344327e-01    6.104406e-02
  7.503083e-01    5.732748e-02
  7.661838e-01    7.532541e-02
  7.820594e-01    8.836136e-02
  7.979350e-01    1.518581e-01
  8.138106e-01    2.090523e-01
  8.296861e-01    2.898746e-01
  8.455617e-01    3.240489e-01
  8.614373e-01    4.450459e-01
  8.773129e-01    4.870770e-01
  8.931884e-01    4.963891e-01
  9.090640e-01    5.863137e-01
  9.249396e-01    6.558275e-01
  9.408152e-01    7.789772e-01
  9.566907e-01    9.096431e-01
  9.725663e-01    1.085420e+00
  9.884419e-01    1.181009e+00
  1.004317e+00    1.223465e+00
  1.020193e+00    1.305369e+00
  1.036069e+00    1.315527e+00
  1.051944e+00    1.425862e+00
  1.067820e+00    1.446326e+00
  1.083695e+00    1.466635e+00
  1.099571e+00    1.524721e+00
  1.115446e+00    1.560806e+00
  1.131322e+00    1.590675e+00
