# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023_data_000060.dat
#       q_nm^-1             I 
  2.003187e-02    2.195834e-01
  3.590745e-02    1.327910e-01
  5.178302e-02    2.377422e-01
  6.765859e-02    2.855480e-01
  8.353417e-02    1.931456e-01
  9.940974e-02    9.441849e-02
  1.152853e-01    4.845412e-02
  1.311609e-01    3.480582e-03
  1.470365e-01    3.349864e-02
  1.629120e-01    5.775699e-02
  1.787876e-01    6.550180e-02
  1.946632e-01    2.073071e-02
  2.105388e-01    1.820069e-02
  2.264143e-01    3.303668e-02
  2.422899e-01    5.424368e-02
  2.581655e-01    4.251301e-02
  2.740411e-01    2.831270e-02
  2.899166e-01    5.753922e-02
  3.057922e-01    6.135690e-02
  3.216678e-01    2.128984e-02
  3.375433e-01    3.981101e-02
  3.534189e-01    7.802312e-02
  3.692945e-01    6.968679e-02
  3.851701e-01    2.516687e-02
  4.010456e-01    4.882045e-02
  4.169212e-01    5.394164e-02
  4.327968e-01    3.320885e-02
  4.486724e-01    2.257784e-02
  4.645479e-01    3.863389e-02
  4.804235e-01    5.006672e-02
  4.962991e-01    3.445635e-02
  5.121747e-01    3.636912e-02
  5.280502e-01    5.069847e-02
  5.439258e-01    6.083537e-02
  5.598014e-01    3.029879e-02
  5.756770e-01    6.617640e-02
  5.915525e-01    5.295629e-02
  6.074281e-01    6.221663e-02
  6.233037e-01    4.428950e-02
  6.391793e-01    4.147419e-02
  6.550548e-01    3.918943e-02
  6.709304e-01    4.099844e-02
  6.868060e-01    5.723612e-02
  7.026815e-01    4.096195e-02
  7.185571e-01    1.640218e-02
  7.344327e-01    3.904187e-02
  7.503083e-01    4.541652e-02
  7.661838e-01    8.912458e-02
  7.820594e-01    9.008011e-02
  7.979350e-01    1.786736e-01
  8.138106e-01    2.141617e-01
  8.296861e-01    2.481136e-01
  8.455617e-01    3.643457e-01
  8.614373e-01    4.511535e-01
  8.773129e-01    4.757167e-01
  8.931884e-01    5.813904e-01
  9.090640e-01    6.029428e-01
  9.249396e-01    7.710043e-01
  9.408152e-01    8.581152e-01
  9.566907e-01    9.105556e-01
  9.725663e-01    1.005062e+00
  9.884419e-01    1.096844e+00
  1.004317e+00    1.152562e+00
  1.020193e+00    1.284840e+00
  1.036069e+00    1.387198e+00
  1.051944e+00    1.507941e+00
  1.067820e+00    1.427757e+00
  1.083695e+00    1.519341e+00
  1.099571e+00    1.599949e+00
  1.115446e+00    1.652253e+00
  1.131322e+00    1.635159e+00
  1.147198e+00    1.608516e+00
  1.163073e+00    1.717128e+00
  1.178949e+00    1.786448e+00
  1.194824e+00    1.901865e+00
  1.210700e+00    2.007755e+00
  1.226575e+00    2.269503e+00
  1.242451e+00    2.402920e+00
  1.258327e+00    2.553719e+00
  1.274202e+00    2.495710e+00
  1.290078e+00    2.489805e+00
  1.305953e+00    2.557331e+00
  1.321829e+00    2.547094e+00
  1.337705e+00    2.697462e+00
  1.353580e+00    2.841867e+00
  1.369456e+00    2.776293e+00
  1.385331e+00    2.862029e+00
  1.401207e+00    2.958652e+00
  1.417082e+00    2.944215e+00
  1.432958e+00    2.787141e+00
  1.448834e+00    2.945328e+00
  1.464709e+00    3.026180e+00
  1.480585e+00    3.113998e+00
  1.496460e+00    3.053236e+00
  1.512336e+00    3.066010e+00
  1.528211e+00    3.156489e+00
  1.544087e+00    3.207088e+00
  1.559963e+00    3.302281e+00
  1.575838e+00    3.297539e+00
