# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023_data_000037.dat
#       q_nm^-1             I 
  2.003187e-02    7.711996e-02
  3.590745e-02    2.074189e-01
  5.178302e-02    1.474495e-01
  6.765859e-02    6.239720e-02
  8.353417e-02    4.769114e-02
  9.940974e-02    7.737107e-02
  1.152853e-01    9.822825e-02
  1.311609e-01    7.543968e-02
  1.470365e-01    8.934253e-02
  1.629120e-01    1.984900e-02
  1.787876e-01    3.895181e-02
  1.946632e-01    5.692706e-02
  2.105388e-01    3.639286e-02
  2.264143e-01    4.167390e-02
  2.422899e-01    5.987814e-02
  2.581655e-01    5.338805e-02
  2.740411e-01    5.705062e-02
  2.899166e-01    3.443296e-02
  3.057922e-01    4.395632e-02
  3.216678e-01    6.517393e-02
  3.375433e-01    2.738708e-02
  3.534189e-01    3.553559e-02
  3.692945e-01    1.704197e-02
  3.851701e-01    6.064326e-02
  4.010456e-01    2.713692e-02
  4.169212e-01    2.994176e-02
  4.327968e-01    3.450081e-02
  4.486724e-01    3.813546e-02
  4.645479e-01    2.968537e-02
  4.804235e-01    5.743483e-02
  4.962991e-01    6.132953e-02
  5.121747e-01    5.395939e-02
  5.280502e-01    5.043869e-02
  5.439258e-01    4.888285e-02
  5.598014e-01    5.604869e-02
  5.756770e-01    4.873937e-02
  5.915525e-01    5.593935e-02
  6.074281e-01    4.532927e-02
  6.233037e-01    5.213029e-02
  6.391793e-01    4.243636e-02
  6.550548e-01    3.081741e-02
  6.709304e-01    1.889986e-02
  6.868060e-01    3.648822e-02
  7.026815e-01    4.478375e-02
  7.185571e-01    4.041702e-02
  7.344327e-01    4.543111e-02
  7.503083e-01    4.774715e-02
  7.661838e-01    5.426088e-02
  7.820594e-01    7.080711e-02
  7.979350e-01    1.345348e-01
  8.138106e-01    2.742862e-01
  8.296861e-01    3.160527e-01
  8.455617e-01    3.266632e-01
  8.614373e-01    4.269426e-01
  8.773129e-01    4.792772e-01
  8.931884e-01    4.984423e-01
  9.090640e-01    6.274307e-01
  9.249396e-01    7.636629e-01
  9.408152e-01    8.265411e-01
  9.566907e-01    9.252116e-01
  9.725663e-01    9.517095e-01
  9.884419e-01    9.736566e-01
  1.004317e+00    1.123037e+00
  1.020193e+00    1.366747e+00
  1.036069e+00    1.450793e+00
  1.051944e+00    1.522630e+00
  1.067820e+00    1.459015e+00
  1.083695e+00    1.481781e+00
  1.099571e+00    1.442810e+00
  1.115446e+00    1.428831e+00
  1.131322e+00    1.592496e+00
  1.147198e+00    1.706849e+00
  1.163073e+00    1.541109e+00
  1.178949e+00    1.619799e+00
  1.194824e+00    1.747073e+00
  1.210700e+00    2.023128e+00
  1.226575e+00    2.321870e+00
  1.242451e+00    2.533104e+00
  1.258327e+00    2.636988e+00
  1.274202e+00    2.661080e+00
  1.290078e+00    2.571647e+00
  1.305953e+00    2.595313e+00
  1.321829e+00    2.665454e+00
  1.337705e+00    2.684595e+00
  1.353580e+00    2.803234e+00
  1.369456e+00    2.776501e+00
  1.385331e+00    2.794074e+00
  1.401207e+00    2.982715e+00
  1.417082e+00    2.904590e+00
  1.432958e+00    2.949708e+00
  1.448834e+00    2.928060e+00
  1.464709e+00    3.035320e+00
  1.480585e+00    3.073527e+00
  1.496460e+00    3.092059e+00
  1.512336e+00    3.141108e+00
  1.528211e+00    3.161856e+00
  1.544087e+00    3.215837e+00
  1.559963e+00    3.161465e+00
  1.575838e+00    3.196050e+00
  1.591714e+00    3.222216e+00
  1.607589e+00    3.195022e+00
  1.623465e+00    3.163257e+00
  1.639340e+00    3.154003e+00
  1.655216e+00    3.249309e+00
  1.671092e+00    3.237169e+00
  1.686967e+00    3.232853e+00
  1.702843e+00    3.120163e+00
  1.718718e+00    3.182878e+00
  1.734594e+00    3.195979e+00
  1.750469e+00    3.057504e+00
  1.766345e+00    3.115487e+00
  1.782221e+00    3.131823e+00
  1.798096e+00    3.113442e+00
  1.813972e+00    3.163393e+00
  1.829847e+00    3.099303e+00
  1.845723e+00    3.099834e+00
  1.861598e+00    3.131106e+00
  1.877474e+00    3.246448e+00
  1.893350e+00    3.174386e+00
  1.909225e+00    3.089215e+00
  1.925101e+00    2.976801e+00
  1.940976e+00    3.076791e+00
  1.956852e+00    3.171684e+00
  1.972727e+00    3.122071e+00
  1.988603e+00    3.107816e+00
  2.004479e+00    3.082185e+00
  2.020354e+00    3.083053e+00
  2.036230e+00    3.116615e+00
  2.052105e+00    3.084643e+00
  2.067981e+00    3.053675e+00
  2.083856e+00    3.134047e+00
  2.099732e+00    3.184156e+00
  2.115608e+00    3.118134e+00
  2.131483e+00    3.119157e+00
  2.147359e+00    3.126267e+00
  2.163234e+00    3.177386e+00
  2.179110e+00    3.188581e+00
  2.194985e+00    3.207856e+00
  2.210861e+00    3.077060e+00
  2.226737e+00    3.061793e+00
  2.242612e+00    3.099926e+00
  2.258488e+00    3.119749e+00
  2.274363e+00    3.193487e+00
  2.290239e+00    3.224099e+00
  2.306115e+00    3.115737e+00
  2.321990e+00    3.141462e+00
  2.337866e+00    3.147966e+00
  2.353741e+00    3.071511e+00
  2.369617e+00    3.065937e+00
