# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023_data_000106.dat
#       q_nm^-1             I 
  2.003187e-02    3.620480e-01
  3.590745e-02    6.421851e-02
  5.178302e-02    1.421695e-01
  6.765859e-02    2.323716e-01
  8.353417e-02    2.286591e-01
  9.940974e-02    2.011012e-01
  1.152853e-01    4.197024e-02
  1.311609e-01    5.074476e-02
  1.470365e-01    2.345890e-02
  1.629120e-01    1.389795e-02
  1.787876e-01    3.301135e-02
  1.946632e-01    1.049900e-01
  2.105388e-01    8.570584e-02
  2.264143e-01    7.201909e-02
  2.422899e-01    6.146574e-02
  2.581655e-01    6.185897e-02
  2.740411e-01    4.186407e-02
  2.899166e-01    2.851750e-02
  3.057922e-01    6.220536e-02
  3.216678e-01    3.241274e-02
  3.375433e-01    1.798904e-02
  3.534189e-01    4.311500e-02
  3.692945e-01    1.786442e-02
  3.851701e-01    3.049386e-02
  4.010456e-01    4.532135e-02
  4.169212e-01    5.261609e-02
  4.327968e-01    5.226937e-02
  4.486724e-01    2.473662e-02
  4.645479e-01    4.468705e-02
  4.804235e-01    5.626135e-02
  4.962991e-01    3.446098e-02
  5.121747e-01    2.297360e-02
  5.280502e-01    3.500355e-02
  5.439258e-01    5.317308e-02
  5.598014e-01    2.812715e-02
  5.756770e-01    3.016715e-02
  5.915525e-01    5.452770e-02
  6.074281e-01    5.652551e-02
  6.233037e-01    6.638778e-02
  6.391793e-01    7.564899e-02
  6.550548e-01    4.264656e-02
  6.709304e-01    2.194236e-02
  6.868060e-01    3.483631e-02
  7.026815e-01    4.171937e-02
  7.185571e-01    3.377019e-02
  7.344327e-01    4.965905e-02
  7.503083e-01    6.510972e-02
  7.661838e-01    1.001260e-01
  7.820594e-01    1.776147e-01
  7.979350e-01    1.972848e-01
  8.138106e-01    2.878902e-01
  8.296861e-01    3.329324e-01
  8.455617e-01    3.227925e-01
  8.614373e-01    3.292810e-01
  8.773129e-01    4.559633e-01
  8.931884e-01    5.521035e-01
  9.090640e-01    6.055254e-01
  9.249396e-01    7.362612e-01
  9.408152e-01    8.532795e-01
  9.566907e-01    9.721809e-01
  9.725663e-01    1.062657e+00
  9.884419e-01    1.199848e+00
  1.004317e+00    1.227167e+00
  1.020193e+00    1.250373e+00
  1.036069e+00    1.277842e+00
  1.051944e+00    1.384835e+00
  1.067820e+00    1.407759e+00
  1.083695e+00    1.425616e+00
  1.099571e+00    1.606157e+00
  1.115446e+00    1.592859e+00
  1.131322e+00    1.547576e+00
  1.147198e+00    1.589343e+00
  1.163073e+00    1.584684e+00
  1.178949e+00    1.674349e+00
  1.194824e+00    1.788117e+00
  1.210700e+00    1.947990e+00
  1.226575e+00    2.205829e+00
  1.242451e+00    2.272436e+00
  1.258327e+00    2.447415e+00
  1.274202e+00    2.539109e+00
  1.290078e+00    2.625643e+00
  1.305953e+00    2.768728e+00
  1.321829e+00    2.844623e+00
  1.337705e+00    2.761594e+00
  1.353580e+00    2.858580e+00
  1.369456e+00    2.870899e+00
  1.385331e+00    2.885005e+00
  1.401207e+00    2.942171e+00
  1.417082e+00    2.888104e+00
  1.432958e+00    2.789345e+00
  1.448834e+00    2.862568e+00
  1.464709e+00    3.006042e+00
  1.480585e+00    3.079845e+00
  1.496460e+00    3.144370e+00
  1.512336e+00    3.154204e+00
  1.528211e+00    3.043105e+00
  1.544087e+00    3.191303e+00
  1.559963e+00    3.119291e+00
  1.575838e+00    2.986946e+00
  1.591714e+00    3.149113e+00
  1.607589e+00    3.210016e+00
  1.623465e+00    3.059483e+00
  1.639340e+00    3.164237e+00
  1.655216e+00    3.116693e+00
  1.671092e+00    3.101172e+00
  1.686967e+00    3.159341e+00
  1.702843e+00    3.093370e+00
  1.718718e+00    3.030302e+00
  1.734594e+00    3.092631e+00
  1.750469e+00    3.117364e+00
  1.766345e+00    3.134752e+00
  1.782221e+00    3.004559e+00
  1.798096e+00    2.930378e+00
  1.813972e+00    3.095012e+00
  1.829847e+00    3.093044e+00
