# == pyFAI calibration ==
# Distance Sample to Detector: 0.3999999939076516 m
# PONI: 9.750e-02, 1.135e-01 m
# Rotations: -0.000175 0.000000 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.000 mm
# Center: x=1514.000, y=1300.000 pix
# Tilt: 0.010 deg  TiltPlanRot: 0.010 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 6.888e-11 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> /home/myspot/data/2024_07_Rosario/Ru-CGO-ex/2024-07-27_003_Ru-CGO-ex_Reaction_dwell_000023_data_000068.dat
#       q_nm^-1             I 
  2.003187e-02    0.000000e+00
  3.590745e-02    7.159502e-02
  5.178302e-02    4.982200e-02
  6.765859e-02    3.249404e-02
  8.353417e-02    8.182689e-02
  9.940974e-02    4.434204e-02
  1.152853e-01    2.737308e-02
  1.311609e-01    0.000000e+00
  1.470365e-01    1.543290e-02
  1.629120e-01    4.026218e-02
  1.787876e-01    1.442671e-02
  1.946632e-01    1.976827e-02
  2.105388e-01    3.696898e-02
  2.264143e-01    6.374367e-02
  2.422899e-01    6.583267e-02
  2.581655e-01    1.917180e-02
  2.740411e-01    2.304467e-02
  2.899166e-01    2.649043e-02
  3.057922e-01    2.648416e-02
  3.216678e-01    7.734770e-02
  3.375433e-01    9.278978e-02
  3.534189e-01    7.422465e-02
  3.692945e-01    5.245586e-02
  3.851701e-01    2.898516e-02
  4.010456e-01    2.230303e-02
  4.169212e-01    2.953331e-02
  4.327968e-01    2.745653e-02
  4.486724e-01    1.659152e-02
  4.645479e-01    4.079744e-02
  4.804235e-01    5.867753e-02
  4.962991e-01    6.002546e-02
  5.121747e-01    6.163100e-02
  5.280502e-01    4.233904e-02
  5.439258e-01    3.197998e-02
  5.598014e-01    3.867015e-02
  5.756770e-01    4.303658e-02
  5.915525e-01    4.803328e-02
  6.074281e-01    3.763219e-02
  6.233037e-01    2.562050e-02
  6.391793e-01    3.826788e-02
  6.550548e-01    5.050659e-02
  6.709304e-01    3.705904e-02
  6.868060e-01    2.483786e-02
  7.026815e-01    3.873353e-02
  7.185571e-01    3.636897e-02
  7.344327e-01    5.276017e-02
  7.503083e-01    5.864640e-02
  7.661838e-01    9.990118e-02
  7.820594e-01    1.219518e-01
  7.979350e-01    1.357847e-01
  8.138106e-01    1.781309e-01
  8.296861e-01    2.305374e-01
  8.455617e-01    3.129838e-01
  8.614373e-01    3.472438e-01
  8.773129e-01    4.773719e-01
  8.931884e-01    6.021315e-01
  9.090640e-01    6.426412e-01
  9.249396e-01    7.353922e-01
  9.408152e-01    8.609849e-01
  9.566907e-01    9.021647e-01
  9.725663e-01    1.014403e+00
  9.884419e-01    1.233357e+00
  1.004317e+00    1.201709e+00
  1.020193e+00    1.207152e+00
  1.036069e+00    1.373380e+00
  1.051944e+00    1.526162e+00
  1.067820e+00    1.515060e+00
  1.083695e+00    1.586994e+00
  1.099571e+00    1.566713e+00
  1.115446e+00    1.512633e+00
  1.131322e+00    1.584191e+00
  1.147198e+00    1.617015e+00
  1.163073e+00    1.691844e+00
  1.178949e+00    1.583957e+00
  1.194824e+00    1.728528e+00
  1.210700e+00    1.882954e+00
  1.226575e+00    2.214006e+00
  1.242451e+00    2.324873e+00
  1.258327e+00    2.475005e+00
  1.274202e+00    2.601651e+00
  1.290078e+00    2.684807e+00
  1.305953e+00    2.608157e+00
  1.321829e+00    2.586065e+00
  1.337705e+00    2.597867e+00
  1.353580e+00    2.595335e+00
  1.369456e+00    2.687368e+00
