monoE,diode1_mean,diode1_std,AS_IC_mean,AS_IC_std,diode1/AS_IC_mean,diode1/AS_IC_std
8.995,25315090.0,,1.57201e-09,,1.6103644378852552e+16,
8.9955,25026342.0,,1.57201e-09,,1.5919963613463018e+16,
8.996,24984030.0,,1.57201e-09,,1.5893047754149146e+16,
8.9965,24912715.0,,1.57201e-09,,1.5847682266652248e+16,
8.997,25199397.0,,1.57201e-09,,1.6030048791038224e+16,
8.9975,25322211.0,,1.57201e-09,,1.6108174248255418e+16,
8.998,25550107.0,,1.57201e-09,,1.6253145336225596e+16,
8.9985,25855810.0,,1.57201e-09,,1.64476116564144e+16,
8.999,26084518.0,,1.57201e-09,,1.6593099280538928e+16,
8.9995,26298057.0,,1.57201e-09,,1.672893747495245e+16,
9.0,26335475.0,,1.57201e-09,,1.6752740122518304e+16,
9.0005,26379636.0,,1.57201e-09,,1.678083218300138e+16,
9.001,26236985.0,,1.57201e-09,,1.6690087849313936e+16,
9.0015,25955638.0,,1.57201e-09,,1.6511115069242562e+16,
9.002,25756545.0,,1.57201e-09,,1.638446638380163e+16,
9.0025,25352586.0,,1.57201e-09,,1.6127496644423382e+16,
9.003,24888518.0,,1.57201e-09,,1.5832289870929574e+16,
9.0035,24586662.0,,1.57201e-09,,1.5640270736191246e+16,
9.004,24263648.0,,1.57201e-09,,1.5434792399539442e+16,
9.0045,24144017.0,,1.57201e-09,,1.5358691738602172e+16,
9.005,24140471.0,,1.57201e-09,,1.5356436027760638e+16,
9.0055,24140937.0,,1.57201e-09,,1.5356732463533946e+16,
9.006,24209894.0,,1.57201e-09,,1.540059796057277e+16,
9.0065,24407522.0,,1.57201e-09,,1.5526314718099758e+16,
9.007,24675925.0,,1.57201e-09,,1.5697053453858436e+16,
9.0075,25006135.0,,1.57201e-09,,1.5907109369533272e+16,
9.008,25333825.0,,1.57201e-09,,1.611556224197047e+16,
9.0085,25479857.0,,1.57201e-09,,1.620845732533508e+16,
9.009,25655519.0,,1.57201e-09,,1.632020088930732e+16,
9.0095,25876002.0,,1.57201e-09,,1.6460456358420112e+16,
9.01,26022167.0,,1.57201e-09,,1.6553436046844486e+16,
9.0105,26111693.0,,1.57201e-09,,1.6610386066246398e+16,
9.011,26273545.0,,1.57201e-09,,1.671334469882507e+16,
9.0115,26456050.0,,1.57201e-09,,1.6829441288541422e+16,
9.012,26618382.0,,1.57201e-09,,1.6932705262689168e+16,
9.0125,26683477.0,,1.57201e-09,,1.6974114032353484e+16,
9.013,26754852.0,,1.57201e-09,,1.7019517687546516e+16,
9.01329,26888978.0,,1.57201e-09,,1.7104839027741554e+16,
9.0135,26778988.0,,1.57201e-09,,1.7034871279444786e+16,
9.014,26755473.0,,1.57201e-09,,1.7019912723201506e+16,
9.01444,26787506.0,,1.57201e-09,,1.7040289820039312e+16,
9.0145,26670841.0,,1.57201e-09,,1.696607591554761e+16,
9.015,26639060.0,,1.57201e-09,,1.6945859123033568e+16,
9.0155,26489460.0,,1.57201e-09,,1.6850694334005508e+16,
9.0156,26546706.0,,1.57201e-09,,1.6887110132887196e+16,
9.016,26334371.0,,1.57201e-09,,1.6752037836909434e+16,
