,monoE,roi4_mean,roi4_std,mcaLt_mean,mcaLt_std,roi4/mcaLt_mean,roi4/mcaLt_std
0,8.231,80.0,,0.96137632,,83.21403214924204,
1,8.238999999999999,92.0,,0.95917856,,95.9154049481673,
2,8.247,90.0,,0.95977664,,93.77181757622274,
3,8.254999999999999,59.0,,0.9595184,,61.48918040550343,
4,8.263,57.0,,0.95506976,,59.68150431231327,
5,8.270999999999999,90.0,,0.94560704,,95.1769563813738,
6,8.279,80.0,,0.95533376,,83.74036734554424,
7,8.286999999999999,72.0,,0.95248768,,75.59152891090413,
8,8.295,56.0,,0.95161536,,58.847305701328736,
9,8.302999999999999,64.0,,0.95912672,,66.72736632756931,
10,8.311,99.5,33.23401871576773,1.42182146,0.6583248137132364,72.32160070508527,10.111737655057327
11,8.311499999999999,130.0,,1.8907478,,68.75586474303977,
12,8.312,131.0,,1.9011498,,68.90566961109535,
13,8.3125,131.0,,1.9073782,,68.68066333147773,
14,8.312999999999999,152.0,,1.9013488,,79.94324870849577,
15,8.3135,140.0,,1.9032765,,73.55736278990467,
16,8.314,123.0,,1.8977626,,64.81316472355394,
17,8.314499999999999,138.0,,1.8987827,,72.67814268583761,
18,8.315,142.0,,1.8992493,,74.76638269657386,
19,8.3155,122.0,,1.8943507,,64.40201384041508,
20,8.315999999999999,160.0,,1.9076317,,83.87363242076549,
21,8.3165,156.0,,1.9021411,,82.01284331640802,
22,8.317,146.0,,1.8988122,,76.8901737623131,
23,8.317499999999999,131.0,,1.9091475,,68.61701361471548,
24,8.318,140.0,,1.898319,,73.74945939012358,
25,8.318499999999998,160.0,,1.9004733,,84.1895542547217,
26,8.318999999999999,138.0,,1.9161971,,72.01764369646526,
27,8.3195,151.0,,1.9137629,,78.90214613314951,
28,8.319999999999999,143.0,,1.9005155,,75.24274335042256,
29,8.3205,152.0,,1.9048752,,79.79525377830527,
30,8.321,155.0,,1.9077277,,81.24849264389252,
31,8.321499999999999,148.0,,1.9059914,,77.64987816839047,
32,8.322,160.0,,1.9063715,,83.92907678277817,
33,8.3225,147.0,,1.903265,,77.23569760385443,
34,8.322999999999999,156.0,,1.9032874,,81.96344913542747,
35,8.3235,132.0,,1.9009312,,69.4396514718681,
36,8.324,165.0,,1.8986877,,86.90212719026937,
37,8.324499999999999,169.0,,1.9033149,,88.79245362919188,
38,8.325,170.0,,1.9055718,,89.21206747496998,
39,8.3255,189.0,,1.9058534,,99.16817316588988,
40,8.325999999999999,200.0,,1.895751,,105.49908716914828,
41,8.3265,214.0,,1.8970707,,112.80549533551913,
42,8.327,203.0,,1.8960147,,107.06668044293116,
43,8.327499999999999,239.0,,1.9037594,,125.54107415044147,
44,8.328,227.0,,1.9003872,,119.44934169205096,
45,8.3285,230.0,,1.8992266,,121.10192643679277,
46,8.328999999999999,283.0,,1.8951504,,149.32851767332028,
47,8.3295,339.0,,1.8944854,,178.9404130535923,
48,8.33,455.0,,1.8908451,,240.6331433495002,
49,8.330499999999999,537.0,,1.890041,,284.120820659446,
50,8.331,707.0,,1.8876554,,374.53870023098494,
51,8.3315,780.0,,1.8651418,,418.1987664423156,
52,8.331999999999999,906.0,,1.8716512,,484.0645521986148,
53,8.3325,1148.0,,1.8655699,,615.3615578810529,
54,8.333,1326.0,,1.8578115,,713.7430250593238,
55,8.333499999999999,1458.0,,1.8656259,,781.5071606799627,
56,8.334,1550.0,,1.8517133,,837.0626273516532,
57,8.334499999999998,1674.0,,1.8564758,,901.7084952036544,
58,8.334999999999999,1712.0,,1.8338912,,933.5341158733952,
59,8.3355,1787.0,,1.8338778,,974.4378823932544,
60,8.335999999999999,1971.0,,1.8448848,,1068.3593902448542,
61,8.3365,1905.0,,1.8507379,,1029.3191704778942,
62,8.337,1969.0,,1.8367037,,1072.0292010083065,
63,8.337499999999999,2072.0,,1.8380749,,1127.2663589497904,
64,8.338,2118.0,,1.8318621,,1156.2005677174063,
65,8.3385,2211.0,,1.8379034,,1203.0012023482843,
66,8.338999999999999,2302.0,,1.8237997,,1262.2000102313868,
67,8.3395,2353.0,,1.832112,,1284.3101295117328,
68,8.34,2477.0,,1.8243888,,1357.7149782984854,
69,8.340499999999999,2579.0,,1.8296947,,1409.524769350865,
70,8.341,2629.5,50.20458146424488,1.82225295,0.0030078201151332,1443.018663278756,29.93268416778669
71,8.3415,2856.0,,1.8073059,,1580.25268439615,
72,8.341999999999999,2889.0,,1.8002419,,1604.7843348163376,
73,8.3425,2976.0,,1.8075482,,1646.429124268996,
74,8.343,3069.0,,1.794063,,1710.642268415323,
75,8.343499999999999,3173.0,,1.7912467,,1771.3919584611097,
76,8.344,3263.0,,1.7881229,,1824.8186408216125,
77,8.3445,3443.0,,1.7818099,,1932.3048996416508,
78,8.344999999999999,3531.0,,1.7728854,,1991.66849701622,
79,8.3455,3610.0,,1.784073,,2023.4598023735573,
80,8.346,3892.0,,1.7662566,,2203.530336418842,
81,8.346499999999999,3807.0,,1.7765088,,2142.9671499516357,
82,8.347,3848.0,,1.7682198,,2176.200040289109,
83,8.3475,3965.0,,1.767489,,2243.2954321073566,
84,8.347999999999999,4051.0,,1.7780019,,2278.400264926601,
85,8.3485,3999.0,,1.7654947,,2265.087513431788,
86,8.349,3980.0,,1.7632957,,2257.1370190490456,
87,8.349499999999999,4042.0,,1.7703923,,2283.109794365916,
88,8.35,4164.0,,1.7652445,,2358.880030500024,
89,8.350499999999998,3981.0,,1.7685018,,2251.057929372761,
90,8.350999999999999,4056.0,,1.7610387,,2303.186182109456,
91,8.3515,4092.0,,1.7625117,,2321.68671561159,
92,8.351999999999999,4019.0,,1.7571008,,2287.2905185633063,
93,8.3525,4004.0,,1.7589379,,2276.373713932709,
94,8.353,4159.0,,1.7700186,,2349.692822437007,
95,8.353499999999999,4119.0,,1.7677232,,2330.1159367032124,
96,8.354,4252.0,,1.7522106,,2426.648942769779,
97,8.3545,4135.0,,1.7500006,,2362.856332734972,
98,8.354999999999999,4169.0,,1.762145,,2365.866600081151,
99,8.3555,4335.0,,1.7728243,,2445.2507786586634,
100,8.356,4271.0,,1.7658566,,2418.6561921279454,
101,8.356499999999999,4167.0,,1.7585165,,2369.610976069886,
102,8.357,4328.0,,1.7581786,,2461.638425129279,
103,8.3575,4272.0,,1.7480202,,2443.9076848196605,
104,8.357999999999999,4252.0,,1.7500128,,2429.696514219782,
105,8.3585,4256.0,,1.7629942,,2414.0748733036103,
106,8.359,4290.0,,1.7492237,,2452.5165077514102,
107,8.359499999999999,4271.0,,1.7633709,,2422.065601740394,
108,8.36,4208.0,,1.7569814,,2395.0168169110952,
109,8.3605,4184.0,,1.761744,,2374.919398051022,
110,8.360999999999999,4187.0,,1.7561645,,2384.173008849684,
111,8.3615,4311.0,,1.7541914,,2457.542546383479,
112,8.362,4236.0,,1.7637894,,2401.6472714939778,
113,8.362499999999999,4172.0,,1.760424,,2369.8836189463445,
114,8.363,4183.0,,1.7519571,,2387.6155414992754,
115,8.3635,4185.0,,1.7579642,,2380.59455363198,
116,8.363999999999999,4166.0,,1.7590406,,2368.33646704914,
117,8.3645,4268.0,,1.7668374,,2415.615607865217,
118,8.365,4059.0,,1.751952,,2316.8442971040304,
119,8.365499999999999,4181.0,,1.7576742,,2378.711595129518,
120,8.366,4223.0,,1.7523933,,2409.8471501802705,
121,8.366499999999998,4099.0,,1.7586246,,2330.7987389690784,
122,8.366999999999999,4223.0,,1.7674477,,2389.3210531774157,
123,8.3675,4134.0,,1.760287,,2348.48067389011,
124,8.367999999999999,4247.0,,1.746503,,2431.716407014474,
125,8.3685,4229.0,,1.7589933,,2404.2160933756827,
126,8.369,4120.0,,1.7451885,,2360.7765006473514,
127,8.369499999999999,4229.0,,1.7538387,,2411.282177773817,
128,8.37,4340.0,,1.7548986,,2473.0773618487133,
129,8.3705,4212.0,,1.7412672,,2418.928008291892,
130,8.370999999999999,4414.0,,1.7509002,,2520.988917586508,
