monoE,ionch1_mean,ionch1_std,Epoch_mean,Epoch_std,ionch1/Epoch_mean,ionch1/Epoch_std
9.0005,231706900.0,,86394749.0,,2.6819558211807526,
9.001,230341860.0,,86394752.0,,2.6661556942718003,
9.0015,226713990.0,,86394755.0,,2.6241638164261243,
9.002,221530050.0,,86394758.0,,2.564160779291725,
9.0025,217241340.0,,86394761.0,,2.514519832979224,
9.003,211547210.0,,86394764.0,,2.4486114690931964,
9.0035,207878820.0,,86394767.0,,2.4061505947460917,
9.004,204907260.0,,86394771.0,,2.3717553461655685,
9.0045,203357990.0,,86394774.0,,2.3538228134030423,
9.005,203130430.0,,86394777.0,,2.3511887761455763,
9.0055,205061250.0,,86394780.0,,2.373537498446087,
9.006,207496090.0,,86394783.0,,2.4017201362725804,
9.0065,210709680.0,,86394787.0,,2.4389165980581677,
9.007,214737450.0,,86394790.0,,2.485537032962289,
9.0075,218189010.0,,86394793.0,,2.5254879654610667,
9.008,221220310.0,,86394796.0,,2.5605744818241134,
9.0085,224325230.0,,86394799.0,,2.5965131303795266,
9.009,226589020.0,,86394803.0,,2.6227158594250164,
9.0095,229079960.0,,86394806.0,,2.651547825687577,
9.01,231422620.0,,86394809.0,,2.678663483126631,
9.0105,234693230.0,,86394812.0,,2.716519945665256,
9.011,235809110.0,,86394815.0,,2.7294359042264285,
9.0115,237711750.0,,86394818.0,,2.751458426592206,
9.012,239660050.0,,86394821.0,,2.774009451330422,
9.0125,240307640.0,,86394825.0,,2.7815050264874084,
9.013,241805140.0,,86394828.0,,2.7988381434129366,
9.0135,242695140.0,,86394831.0,,2.8091395884552397,
9.014,241920750.0,,86394834.0,,2.8001761077519984,
9.0145,242417460.0,,86394837.0,,2.805925312411898,
9.015,241209040.0,,86394840.0,,2.791938037040175,
9.0155,239695170.0,,86394844.0,,2.774415218574849,
9.016,238849690.0,,86394847.0,,2.7646288904244485,
9.0165,226958090.0,,86394850.0,,2.626986330782448,
9.017,237715850.0,,86394853.0,,2.751504768461149,
9.0175,234417070.0,,86394856.0,,2.7133220755643137,
9.018,233119100.0,,86394859.0,,2.6982982864755876,
9.0185,230473190.0,,86394862.0,,2.667672413204387,
9.019,228664770.0,,86394866.0,,2.6467402588482516,
9.0195,226121500.0,,86394869.0,,2.61730242336498,
9.02,224249320.0,,86394872.0,,2.595632296324254,
9.0205,221223030.0,,86394875.0,,2.560603623768192,
9.021,218958820.0,,86394878.0,,2.5343958469389816,
9.0215,216532610.0,,86394881.0,,2.5063129608338715,
9.022,213411460.0,,86394885.0,,2.470186284755168,
9.0225,211769840.0,,86394888.0,,2.4511848432513736,
9.023,210607830.0,,86394891.0,,2.437734772997167,
9.0235,207621850.0,,86394894.0,,2.403172692126921,
9.024,205994490.0,,86394897.0,,2.384336310974478,
9.0245,203391640.0,,86394900.0,,2.3542088711254947,
9.025,201945570.0,,86394904.0,,2.3374708536049766,
9.0255,200923730.0,,86394907.0,,2.3256432233904714,
9.026,199184100.0,,86394910.0,,2.305507349912165,
9.0265,197732280.0,,86394913.0,,2.2887028082313132,
9.027,197639930.0,,86394917.0,,2.2876337736397154,
9.0275,197807970.0,,86394920.0,,2.2895787159708,
9.028,198228760.0,,86394923.0,,2.294449177297143,
9.0285,199256390.0,,86394926.0,,2.306343661895144,
9.029,200167840.0,,86394929.0,,2.316893390814639,
9.0295,201162920.0,,86394932.0,,2.3284111155964564,
9.03,202861180.0,,86394935.0,,2.3480679741237145,
9.0305,204769560.0,,86394939.0,,2.370156890787318,
9.031,207057680.0,,86394942.0,,2.396641229297891,
9.0315,208842770.0,,86394945.0,,2.4173031188340937,
9.032,211247950.0,,86394948.0,,2.4451423942057353,
9.0325,213428310.0,,86394951.0,,2.4703794322425163,
9.033,215108200.0,,86394954.0,,2.4898236533582736,
9.0335,217446120.0,,86394957.0,,2.516884405648816,
9.034,218739450.0,,86394961.0,,2.5318542594168196,
9.0345,221148940.0,,86394964.0,,2.5597434128220713,
9.035,222068230.0,,86394967.0,,2.5703838743291607,
9.0355,222251110.0,,86394970.0,,2.5725005749756034,
9.036,223236410.0,,86394974.0,,2.583905054476896,
9.0365,223986520.0,,86394977.0,,2.5925872982175804,
9.037,224837940.0,,86394980.0,,2.6024421789321557,
9.0375,224995810.0,,86394983.0,,2.604269393744773,
9.038,225705700.0,,86394986.0,,2.612486099598419,
9.0385,224658320.0,,86394989.0,,2.6003628520630984,
9.039,224418600.0,,86394993.0,,2.597588033834322,
9.0395,225169180.0,,86394996.0,,2.606275715320364,
9.04,224544480.0,,86394999.0,,2.5990448822159253,
9.0405,224208430.0,,86395002.0,,2.595155099365586,
9.041,223038910.0,,86395005.0,,2.581618115538045,
9.0415,222274530.0,,86395008.0,,2.572770523963607,
9.042,221537910.0,,86395011.0,,2.5642442478536176,
9.0425,221756410.0,,86395015.0,,2.566773210236725,
9.043,221506160.0,,86395018.0,,2.5638765420478298,
9.0435,220807310.0,,86395021.0,,2.5557874452047415,
9.044,219783960.0,,86395025.0,,2.543942316122948,
9.0445,219731190.0,,86395028.0,,2.5433314287484228,
9.045,220826770.0,,86395031.0,,2.5560123938146395,
9.0455,220728480.0,,86395034.0,,2.5548746239280375,
9.046,220675770.0,,86395037.0,,2.5542644307218714,
9.0465,219613870.0,,86395040.0,,2.5419731271610035,
9.047,220534850.0,,86395044.0,,2.5526331116863603,
9.0475,220106780.0,,86395047.0,,2.5476782251186227,
9.048,221324730.0,,86395050.0,,2.5617755878374977,
9.0485,220521260.0,,86395053.0,,2.5524755450986296,
9.049,220146350.0,,86395056.0,,2.5481359720398817,
9.0495,219271670.0,,86395059.0,,2.538011693469646,
9.05,218612440.0,,86395063.0,,2.530381163099563,
9.0505,218290550.0,,86395066.0,,2.5266552837635428,
9.051,218222380.0,,86395069.0,,2.525866146365367,
9.0515,217164540.0,,86395072.0,,2.513621841764308,
9.052,216992180.0,,86395075.0,,2.511626733352567,
9.0525,216086290.0,,86395078.0,,2.501141210845368,
9.053,214797010.0,,86395081.0,,2.486218052159706,
9.0535,215500230.0,,86395085.0,,2.4943575204538546,
9.054,215304880.0,,86395088.0,,2.492096309919842,
9.0545,214842850.0,,86395091.0,,2.4867483500885483,
9.055,214002450.0,,86395094.0,,2.4770208595409366,
9.0555,213733310.0,,86395098.0,,2.473905521815601,
9.056,214482400.0,,86395101.0,,2.4825759506896112,
9.0565,214220820.0,,86395104.0,,2.4795481466171974,
9.057,214101480.0,,86395107.0,,2.478166732289596,
9.0575,204120870.0,,86395110.0,,2.3626437885199754,
9.058,212953160.0,,86395113.0,,2.464875067644162,
9.0585,212879380.0,,86395117.0,,2.464020970074038,
9.059,211979830.0,,86395120.0,,2.4536088380917813,
